tweet_id,user_username,text,created_at,possibly_sensitive,lang,in_reply_to_user_id,author_id,conversation_id,user_name,user_profile_image_url,user_description,user_url,user_created_at,user_protected,user_location,user_verified,user_pinned_tweet_id,retweet_count,like_count,quote_count,impression_count,user_tweet_count,user_list_count,user_followers_count,user_following_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,sourcetweet_lang,sourcetweet_author_id
1640946374672806e3,Afoo_of_lagos,"@nobodyknows2mao That’s an interesting point of view. I’ll have to remember that the next time I’m looking for a stupid opinion. 
You’d leave if I threw a stick right?",2023-03-29T05:17:57Z,FALSE,en,1116323746208452600,1519828462898458600,1640670926004953e3,Ayinke,https://pbs.twimg.com/profile_images/1647264063611629568/XEd9IPqh_normal.jpg,"¶Forensic Computer Analyst¶

Tareeqoh Tijanniyah 📿

Al-Jaa'fariyah 

United Die Hard 🔴⚫

Instagram: https://t.co/9pwLk0AJXs",NA,2022-04-28T23:59:42Z,FALSE,"Abuja, Nigeria",FALSE,1639965774101074e3,0,1,0,39,5432,2,733,200,NA,NA,NA,NA,NA
1640944996420313e3,molarors2nd,"@A_kawtharO Mon warn Everybody in advance,make nobody hold me then o",2023-03-29T05:12:29Z,FALSE,en,1403053723216224300,1530229461949587500,1640943853019578400,Ibadan Elon Musk,https://pbs.twimg.com/profile_images/1640954233766793218/AhzOpfVU_normal.jpg,Founder @Molarorsconsult @TransferhubNG_| Licensed Scout | @molarors back up| Islam.,https://t.co/LO0sCCLHbU,2022-05-27T16:48:42Z,FALSE,NA,FALSE,1652435380111589400,0,0,0,74,11909,0,271,1064,NA,NA,NA,NA,NA
1640938698979045400,RounaRoy_,"One thing is common among all the great men and women in the world. Even if they started as a nobody, they ended up becoming legends. https://t.co/WPDSbssoWr",2023-03-29T04:47:27Z,FALSE,en,NA,1640881626090549200,1640938698979045400,Oghenerouna Elijah,https://pbs.twimg.com/profile_images/1640882073358540801/n7rlrsea_normal.jpg,JUDGE me when you you become PERFECT,NA,2023-03-29T01:01:01Z,FALSE,"Ughelli, Nigeria",FALSE,NA,0,0,0,3,11,0,10,42,NA,NA,NA,NA,NA
1640931641529868300,KolaShangOne,Nobody dey wake us up for Sahur o... https://t.co/yiOAntBTij,2023-03-29T04:19:25Z,FALSE,en,NA,76887841,1640931641529868300,Mr Shang,https://pbs.twimg.com/profile_images/1583942341144059909/qwC69yY7_normal.jpg,"Deen over Dunya.
Todo lo que necesitamos es amor. 

Pantheist.",NA,2009-09-24T08:05:35Z,FALSE,World,FALSE,1537802933290639400,0,0,0,227,157781,14,5340,4509,NA,NA,NA,NA,NA
1640931112573718500,Hoodlum_001,"@The_Arc_Hi_Tect @odu_babajide @echeson91 @Afoo_of_lagos Olórí burúkú ọmọ àlè
Wa so'kun ni oo",2023-03-29T04:17:18Z,FALSE,es,1538207847514873900,889910778,1639965774101074e3,Ola Silento,https://pbs.twimg.com/profile_images/1567444437181120512/P_01GskY_normal.jpg,I never lie because I don’t fear anyone. You only lie when you’re afraid,NA,2012-10-18T23:12:56Z,FALSE,"Lagos, Nigeria 🇳🇬",FALSE,NA,0,0,0,46,4515,0,63,103,NA,NA,NA,NA,NA
1640927320511848400,AhmadKh40499236,"@PiCoreTeam I am not a robot, why my kyc is under review and I am here by to support Pi ecosystem.",2023-03-29T04:02:14Z,FALSE,en,1126232134065147900,1482179461810475e3,1640927320511848400,Ahmad Khalil,https://pbs.twimg.com/profile_images/1482179736034070529/muIl1vPQ_normal.png,NA,NA,2022-01-15T02:36:01Z,FALSE,NA,FALSE,NA,0,0,0,3,37,2,10,119,NA,NA,NA,NA,NA
1640968666924679200,JudithPearce1,"@inkredible_h @theREDNigerian You hit the nail on the head!For much less, all parents pulled their children out of a school in Ikoyi and the school shut down. They started a brand new school which stands tall today in Ikoyi. Parents of children in Chrisland shld keep playing..nobody knows whose child is next.",2023-03-29T06:46:32Z,FALSE,en,3339436829,383324147,1640524924132683800,Judith Pearce,https://pbs.twimg.com/profile_images/1630930082716950529/9rcPQF9h_normal.jpg,"DR Marketer & Copywriter| I help Business Owners Increase Sales & Profit Using High Converting Sales Copy, Emails & Ads",https://t.co/1UsDdFNmkE,2011-10-01T17:34:41Z,FALSE,Nigeria,FALSE,1581964655882535e3,0,2,0,122,10654,2,407,893,NA,NA,NA,NA,NA
1640968622741880800,ibilebowyz,@taadelodun 😂😂🤣😂 awon werey 🤣 nobody holy soon.... Igbo and Ownership nah 5and 6😂🤣 https://t.co/xjgI4ofbYR,2023-03-29T06:46:22Z,FALSE,en,170810770,3228096586,1640370579101425700,ibilebowyz,https://pbs.twimg.com/profile_images/1517371695899852800/xObbVnhi_normal.jpg,tycoon💪,NA,2015-05-02T10:33:08Z,FALSE,"Abuja, Nigeria",FALSE,NA,0,0,0,16,228,0,86,361,NA,NA,NA,NA,NA
1640963075128918e3,CarlosVester01,"“Nobody can go back and start a new beginning, but anyone can start today and make a new ending.” –  *Maria Robinson*

GM Alphas💕💕💕@SolOkayBear @OlohijereFaith @Weird_Techie
@Alh_Myke1 @C_POTENS @CryptoDefiLord
 @_InvestorBen @Techriztm @FundedNext
It doesn't cost to reply GM",2023-03-29T06:24:19Z,FALSE,en,NA,1169012655929081900,1640963075128918e3,Carlos__Vester™,https://pbs.twimg.com/profile_images/1653875551474515970/brT7itTD_normal.jpg,"Coach CRYPTOSEC_ACADEMY || TA and FA beast || & DeFi Researcher--- CEO Real X-change---

Let's Share thoughts together 
https://t.co/eqWWH9j6nZ",https://t.co/DWE4VbZ8gc,2019-09-03T22:22:17Z,FALSE,"In profits, Telegram Channel👉",FALSE,1625213534073237500,0,2,0,139,489,6,75,128,NA,NA,NA,NA,NA
1640958110373126100,Bright_streets,"And You are crying😂
Like khosireigns will always cook to make people pity khosi
My fave was a first choice at replace😂
they won't even think twice
Every Single time Juvonne Juvonne 
It doesn't mean nobody liked them

VOTE YVONNE
YVONNE THE FINALIST
#Yvonne #BBTitians https://t.co/UJCwnPfduE",2023-03-29T06:04:35Z,FALSE,en,NA,1572356830835228700,1640958110373126100,Bright Effiong🥷,https://pbs.twimg.com/profile_images/1657036567024730118/I9MsyG_H_normal.jpg,"Me🖤
God🙏
Victoria 🥰
Phyna 🎤🐘
Yvonne🪄🥷",NA,2022-09-20T22:48:49Z,FALSE,"Upenekang, Nigeria",FALSE,NA,0,0,0,369,518,0,72,53,quoted,1640878180226551800,"Reminds me of the days of save and replace, i honestly wanted her up everytime so she’ll get stronger but the fact that out of 24 housemates NOBODY thinks of her as a first choice to save always broke my heart.

Khosi’s win is very personal to me 😭

VOTE KHOSI, Pls 
#BBTitans",en,1210841101805899800
